REF_AREA,TIME_PERIOD,IMF_WEO_NGDP_RPCH,IMF_WEO_TM_RPCH,IMF_WEO_TMG_RPCH,IMF_WEO_TX_RPCH,IMF_WEO_TXG_RPCH,IMF_WEO_NGSD_NGDP,IMF_WEO_NID_NGDP,IMF_WEO_GGXCNL_NGDP,IMF_WEO_GGXONLB_NGDP,IMF_WEO_GGX_NGDP,IMF_WEO_GGXWDG_NGDP,IMF_WEO_LP,IMF_WEO_BCA_NGDPD,IMF_WEO_PPPSH,IMF_WEO_BCA
ARE,2000,12.322,9.163,9.855,19.771,21.257,38.233,21.926,10.66,10.728,21.788,3.12,2.995,16.307,0.606,16.794
ARE,2001,1.399,9.846,11.969,3.976,3.46,31.575,22.502,1.205,1.298,25.228,2.69,3.167,9.072,0.6,9.373
ARE,2002,2.433,13.019,11.235,7.244,7.145,25.862,22.546,-1.238,-1.21,21.333,3.427,3.349,3.316,0.598,3.642
ARE,2003,8.801,13.672,15.142,19.577,20.53,27.913,22.13,2.352,2.356,20.05,3.332,3.551,5.783,0.625,7.191
ARE,2004,9.566,24.479,26.506,19.514,20.497,26.411,19.98,6.4,6.456,17.709,4.08,3.761,6.43,0.65,9.505
ARE,2005,4.855,12.664,10.723,15.377,14.535,33.332,20.167,15.987,16.024,15.744,4.482,4.106,13.165,0.651,23.778
ARE,2006,9.837,8.805,6.889,12.494,11.823,36.585,19.271,20.15,20.151,15.627,5.052,5.012,17.315,0.68,38.459
ARE,2007,3.184,38.004,40.749,15.46,15.671,32.834,25.202,17.126,17.133,17.657,8.892,6.219,7.631,0.666,19.68
ARE,2008,3.192,19.315,23.125,17.495,18.066,32.158,25.099,17.638,17.671,21.951,8.949,8.074,7.059,0.668,22.267
ARE,2009,-5.243,-13.885,-14.14,-10.751,-11.843,34.729,31.634,-6.127,-5.95,34.997,21.136,8.2,3.095,0.636,7.848
ARE,2010,5.284,-1.465,-1.919,5.107,3.503,33.709,29.646,0.532,0.847,31.114,18.799,8.264,4.063,0.636,12.196
ARE,2011,6.216,9.809,11.406,17.594,19.095,37.387,25.326,5.166,5.345,30.293,20.862,8.394,12.06,0.65,43.517
ARE,2012,1.824,10.536,11.015,17.475,17.779,42.926,23.92,8.771,9.077,28.382,20.657,8.526,19.006,0.643,73.101
ARE,2013,5.056,10.739,10.88,8.613,8.185,39.931,21.638,8.183,8.585,29.561,15.611,8.661,18.293,0.627,73.213
ARE,2014,4.166,13.202,6.007,5.89,-4.318,35.86,22.701,1.789,2.057,32.25,13.819,8.799,13.159,0.634,54.491
ARE,2015,6.787,3.129,2.765,4.014,1.229,27.067,22.327,-6.555,-6.35,27.239,16.104,8.939,4.74,0.554,17.551
